,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
2542,New Mexico,34,20,15.0,1.9,4.0,.471,0.3,1.1,.278,0.7,1.1,.622,1.0,2.7,3.7,0.4,0.3,0.6,2.1,0.7,4.7,https://basketball.realgm.com/player/Alex-Kirk/NCAA/9391/2011/By_Season/Per_Game,Undrafted,2010-11
2543,New Mexico,32,31,32.0,5.2,10.5,.490,0.4,1.8,.214,2.6,3.8,.667,2.3,6.4,8.7,1.1,0.4,2.7,2.6,1.8,13.2,https://basketball.realgm.com/player/Alex-Kirk/NCAA/9391/2014/By_Season/Per_Game,Undrafted,2013-14
2544,UCLA,37,37,22.9,2.5,5.0,.503,0.6,1.4,.442,0.9,1.1,.805,1.4,2.4,3.8,0.8,0.6,0.2,2.0,0.9,6.5,https://basketball.realgm.com/player/David-Wear/NCAA/2207/2014/By_Season/Per_Game,Undrafted,2013-14
2545,UCLA,34,10,23.4,3.0,6.7,.445,0.4,1.3,.341,0.7,1.1,.639,1.6,3.4,5.0,1.0,0.5,0.3,1.5,0.9,7.1,https://basketball.realgm.com/player/David-Wear/NCAA/2207/2013/By_Season/Per_Game,Undrafted,2012-13
2546,UCLA,32,30,28.4,4.0,8.2,.485,0.4,1.0,.452,1.7,2.2,.786,2.1,4.3,6.4,0.8,0.7,0.2,2.4,1.2,10.2,https://basketball.realgm.com/player/David-Wear/NCAA/2207/2012/By_Season/Per_Game,Undrafted,2011-12
2547,North Carolina,27,2,10.4,1.1,2.6,.437,0.3,0.6,.500,0.3,0.6,.562,0.6,1.0,1.7,0.4,0.3,0.1,0.8,0.7,2.9,https://basketball.realgm.com/player/David-Wear/NCAA/2207/2010/By_Season/Per_Game,Undrafted,2009-10
2548,UCLA,37,37,22.9,2.5,5.0,.503,0.6,1.4,.442,0.9,1.1,.805,1.4,2.4,3.8,0.8,0.6,0.2,2.0,0.9,6.5,https://basketball.realgm.com/player/David-Wear/NCAA/2207/2014/By_Season/Per_Game,Undrafted,2013-14
2549,Marquette,32,32,29.0,4.2,9.9,.428,1.0,3.1,.327,2.2,3.3,.670,1.4,4.5,5.9,2.6,0.6,0.5,2.9,1.9,11.7,https://basketball.realgm.com/player/Jamil-Wilson/NCAA/2543/2014/By_Season/Per_Game,Undrafted,2013-14
2550,Marquette,35,6,24.5,3.3,7.4,.442,1.0,2.7,.354,1.8,2.5,.744,1.3,3.3,4.7,1.6,0.6,0.8,2.4,1.5,9.3,https://basketball.realgm.com/player/Jamil-Wilson/NCAA/2543/2013/By_Season/Per_Game,Undrafted,2012-13
2551,Marquette,34,15,24.2,2.8,6.3,.446,0.3,0.9,.345,1.2,1.7,.707,1.7,2.4,4.1,1.1,0.8,1.4,2.8,1.1,7.1,https://basketball.realgm.com/player/Jamil-Wilson/NCAA/2543/2012/By_Season/Per_Game,Undrafted,2011-12
2552,Oregon,26,14,16.9,1.8,4.2,.427,0.3,1.2,.281,0.8,1.0,.741,1.2,2.0,3.2,1.0,0.5,0.5,2.1,1.0,4.7,https://basketball.realgm.com/player/Jamil-Wilson/NCAA/2543/2010/By_Season/Per_Game,Undrafted,2009-10
2553,Marquette,32,32,29.0,4.2,9.9,.428,1.0,3.1,.327,2.2,3.3,.670,1.4,4.5,5.9,2.6,0.6,0.5,2.9,1.9,11.7,https://basketball.realgm.com/player/Jamil-Wilson/NCAA/2543/2014/By_Season/Per_Game,Undrafted,2013-14
2554,Providence,35,35,30.6,4.2,9.7,.434,0.1,0.4,.333,3.7,5.0,.743,3.1,4.3,7.4,1.2,0.3,0.8,3.5,1.7,12.3,https://basketball.realgm.com/player/Kadeem-Batts/NCAA/6274/2014/By_Season/Per_Game,Undrafted,2013-14
2555,Providence,34,34,31.7,5.5,11.6,.478,0.0,0.1,.000,3.8,5.4,.692,3.0,4.3,7.2,1.0,0.6,0.7,3.6,2.1,14.8,https://basketball.realgm.com/player/Kadeem-Batts/NCAA/6274/2013/By_Season/Per_Game,Undrafted,2012-13
2556,Providence,22,10,18.8,2.0,5.2,.391,0.0,0.0,.000,1.8,2.5,.714,2.0,2.0,4.0,0.4,0.4,0.7,3.3,1.5,5.9,https://basketball.realgm.com/player/Kadeem-Batts/NCAA/6274/2012/By_Season/Per_Game,Undrafted,2011-12
2557,Providence,32,32,21.7,2.3,5.4,.436,0.2,0.7,.381,2.1,3.3,.648,3.0,2.9,5.8,0.5,0.5,0.4,2.9,1.1,7.1,https://basketball.realgm.com/player/Kadeem-Batts/NCAA/6274/2011/By_Season/Per_Game,Undrafted,2010-11
2558,Providence,35,35,30.6,4.2,9.7,.434,0.1,0.4,.333,3.7,5.0,.743,3.1,4.3,7.4,1.2,0.3,0.8,3.5,1.7,12.3,https://basketball.realgm.com/player/Kadeem-Batts/NCAA/6274/2014/By_Season/Per_Game,Undrafted,2013-14
2559,North Dakota State,32,32,34.0,5.3,11.3,.471,1.3,3.1,.414,5.7,7.3,.785,0.6,4.8,5.5,3.8,1.5,0.2,2.1,2.0,17.6,https://basketball.realgm.com/player/Taylor-Braun/NCAA/12952/2014/By_Season/Per_Game,Undrafted,2013-14
