,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
5812,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
5813,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
5814,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
5815,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
5816,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
5817,Keenan Evans,PG,-,-,-,-,-,-
5818,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
5819,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
5820,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
5821,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
5822,Isaac Haas,C,-,-,-,-,-,-
5823,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
5824,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
5825,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
5826,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
5827,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
5828,Jaren Jackson,PF-C,-,-,-,-,-,-
5829,Justin Jackson,PF,-,-,-,-,-,-
5830,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
5831,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
5832,Kevin Knox,SF,-,-,-,-,-,-
5833,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
5834,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
5835,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
5836,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
5837,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
5838,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
5839,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
5840,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
5841,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
5842,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
5843,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
5844,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
5845,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
5846,Michael Porter,SF-PF,-,-,-,-,-,-
5847,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
5848,Jerome Robinson,SG,-,-,-,-,-,-
5849,Collin Sexton,PG,-,-,-,-,-,-
5850,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
5851,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
5852,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
5853,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
5854,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
5855,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
5856,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
5857,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
5858,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
5859,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
5860,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
5861,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
5862,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
5863,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
5864,Trae Young,PG,-,-,-,-,-,-
5865,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
5866,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
