,PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
3621,Justin Jackson,PF,-,-,-,-,-,-
3622,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3623,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3624,Kevin Knox,SF,-,-,-,-,-,-
3625,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3626,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3627,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3628,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3629,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3630,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3631,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3632,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3633,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3634,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3635,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3636,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3637,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3638,Michael Porter,SF-PF,-,-,-,-,-,-
3639,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3640,Jerome Robinson,SG,-,-,-,-,-,-
3641,Collin Sexton,PG,-,-,-,-,-,-
3642,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3643,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3644,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3645,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3646,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3647,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3648,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3649,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3650,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3651,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3652,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3653,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3654,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
3655,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
3656,Trae Young,PG,-,-,-,-,-,-
3657,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
3658,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
3659,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3660,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
3661,Mohamed Bamba,C,-,-,-,-,-,-
3662,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
3663,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
3664,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
3665,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
3666,Miles Bridges,SF,-,-,-,-,-,-
3667,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
3668,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
3669,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
3670,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
3671,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
3672,Wendell Carter,C-PF,-,-,-,-,-,-
3673,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
3674,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
3675,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
3676,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
3677,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
3678,Keenan Evans,PG,-,-,-,-,-,-
3679,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
3680,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
3681,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
3682,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
3683,Isaac Haas,C,-,-,-,-,-,-
3684,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
3685,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
3686,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
3687,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
3688,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
3689,Jaren Jackson,PF-C,-,-,-,-,-,-
3690,Justin Jackson,PF,-,-,-,-,-,-
3691,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3692,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3693,Kevin Knox,SF,-,-,-,-,-,-
3694,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3695,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3696,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3697,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3698,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3699,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3700,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3701,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3702,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3703,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3704,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3705,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3706,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3707,Michael Porter,SF-PF,-,-,-,-,-,-
3708,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3709,Jerome Robinson,SG,-,-,-,-,-,-
3710,Collin Sexton,PG,-,-,-,-,-,-
3711,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3712,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3713,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3714,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3715,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3716,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3717,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3718,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3719,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3720,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3721,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3722,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3723,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
3724,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
3725,Trae Young,PG,-,-,-,-,-,-
3726,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
3727,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
3728,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3729,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
3730,Mohamed Bamba,C,-,-,-,-,-,-
3731,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
3732,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
3733,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
3734,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
3735,Miles Bridges,SF,-,-,-,-,-,-
3736,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
3737,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
3738,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
3739,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
3740,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
3741,Wendell Carter,C-PF,-,-,-,-,-,-
3742,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
3743,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
3744,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
3745,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
3746,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
3747,Keenan Evans,PG,-,-,-,-,-,-
3748,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
3749,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
3750,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
3751,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
3752,Isaac Haas,C,-,-,-,-,-,-
3753,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
3754,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
3755,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
3756,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
3757,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
3758,Jaren Jackson,PF-C,-,-,-,-,-,-
3759,Justin Jackson,PF,-,-,-,-,-,-
3760,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3761,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3762,Kevin Knox,SF,-,-,-,-,-,-
3763,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3764,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3765,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3766,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3767,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3768,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3769,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3770,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3771,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3772,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3773,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3774,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3775,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3776,Michael Porter,SF-PF,-,-,-,-,-,-
3777,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3778,Jerome Robinson,SG,-,-,-,-,-,-
3779,Collin Sexton,PG,-,-,-,-,-,-
3780,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3781,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3782,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3783,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3784,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3785,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3786,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3787,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3788,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3789,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3790,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3791,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3792,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
3793,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
3794,Trae Young,PG,-,-,-,-,-,-
3795,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
3796,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
3797,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3798,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
3799,Mohamed Bamba,C,-,-,-,-,-,-
3800,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
3801,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
3802,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
3803,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
3804,Miles Bridges,SF,-,-,-,-,-,-
3805,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
3806,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
3807,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
3808,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
3809,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
3810,Wendell Carter,C-PF,-,-,-,-,-,-
3811,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
3812,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
3813,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
3814,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
3815,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
3816,Keenan Evans,PG,-,-,-,-,-,-
3817,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
3818,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
3819,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
3820,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
3821,Isaac Haas,C,-,-,-,-,-,-
3822,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
3823,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
3824,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
3825,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
3826,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
3827,Jaren Jackson,PF-C,-,-,-,-,-,-
3828,Justin Jackson,PF,-,-,-,-,-,-
3829,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3830,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3831,Kevin Knox,SF,-,-,-,-,-,-
3832,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3833,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3834,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3835,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3836,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3837,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3838,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3839,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3840,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3841,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3842,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3843,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3844,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3845,Michael Porter,SF-PF,-,-,-,-,-,-
3846,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3847,Jerome Robinson,SG,-,-,-,-,-,-
3848,Collin Sexton,PG,-,-,-,-,-,-
3849,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3850,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3851,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3852,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3853,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3854,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3855,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3856,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3857,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3858,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3859,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3860,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3861,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
3862,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
3863,Trae Young,PG,-,-,-,-,-,-
3864,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
3865,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
3866,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3867,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
3868,Mohamed Bamba,C,-,-,-,-,-,-
3869,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
3870,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
3871,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
3872,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
3873,Miles Bridges,SF,-,-,-,-,-,-
3874,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
3875,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
3876,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
3877,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
3878,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
3879,Wendell Carter,C-PF,-,-,-,-,-,-
3880,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
3881,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
3882,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
3883,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
3884,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
3885,Keenan Evans,PG,-,-,-,-,-,-
3886,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
3887,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
3888,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
3889,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
3890,Isaac Haas,C,-,-,-,-,-,-
3891,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
3892,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
3893,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
3894,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
3895,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
3896,Jaren Jackson,PF-C,-,-,-,-,-,-
3897,Justin Jackson,PF,-,-,-,-,-,-
3898,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3899,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3900,Kevin Knox,SF,-,-,-,-,-,-
3901,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3902,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3903,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3904,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3905,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3906,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3907,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3908,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3909,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3910,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3911,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3912,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3913,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3914,Michael Porter,SF-PF,-,-,-,-,-,-
3915,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3916,Jerome Robinson,SG,-,-,-,-,-,-
3917,Collin Sexton,PG,-,-,-,-,-,-
3918,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3919,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3920,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3921,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3922,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3923,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3924,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3925,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3926,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3927,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3928,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3929,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3930,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
3931,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
3932,Trae Young,PG,-,-,-,-,-,-
3933,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
3934,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
3935,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
3936,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
3937,Mohamed Bamba,C,-,-,-,-,-,-
3938,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
3939,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
3940,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
3941,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
3942,Miles Bridges,SF,-,-,-,-,-,-
3943,Bruce Brown,SG-PG,11.11,3.44,3.20,32.5,38.0,17
3944,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5
3945,Jalen Brunson,PG,10.59,3.11,3.15,29.0,37.0,7
3946,Tony Carr,PG,11.89,3.40,3.17,25.0,31.5,0
3947,Jevon Carter,PG,11.04,3.05,3.18,29.0,36.5,14
3948,Wendell Carter,C-PF,-,-,-,-,-,-
3949,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42.0,12
3950,Hamidou Diallo,SG,10.53,3.14,3.10,32.5,40.5,1
3951,Trevon Duval,PG,10.93,3.09,3.18,34.0,41.5,6
3952,Carsen Edwards,PG,11.59,3.15,3.20,28.5,34.5,12
3953,Jacob Evans,SG-SF,11.11,3.14,3.20,28.0,35.5,8
3954,Keenan Evans,PG,-,-,-,-,-,-
3955,Bruno Fernando,C,12.19,3.03,3.23,29.0,35.0,11
3956,Melvin Frazier,SF-SG,11.24,3.08,3.08,31.0,40.5,0
3957,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
3958,Devonte Graham,PG,11.28,3.15,3.21,31.0,37.0,14
3959,Isaac Haas,C,-,-,-,-,-,-
3960,Devon Hall,SG,10.95,3.16,3.27,25.0,31.0,6
3961,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
3962,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32.0,4
3963,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33.0,-
3964,Kevin Huerter,SG,10.89,2.97,3.09,31.0,38.0,9
3965,Jaren Jackson,PF-C,-,-,-,-,-,-
3966,Justin Jackson,PF,-,-,-,-,-,-
3967,Alize Johnson,PF,11.83,3.28,3.38,25.0,31.0,8
3968,George King,SF-SG,10.75,3.08,3.29,31.0,39.0,15
3969,Kevin Knox,SF,-,-,-,-,-,-
3970,Sagaba Konate,C,12.28,3.36,3.28,31.5,35.0,12
3971,Caleb Martin,SF-SG,10.43,2.75,3.26,29.0,36.5,6
3972,Cody Martin,SG-SF,10.64,3.05,3.09,29.0,36.5,4
3973,Yante Maten,PF-C,11.35,3.13,3.17,27.0,31.5,18
3974,Brandon McCoy,C,11.77,3.31,3.23,27.5,32.0,9
3975,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31.0,36.5,1
3976,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36.0,5
3977,Shake Milton,SG-PG,11.07,3.19,3.25,30.0,33.0,2
3978,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37.0,4
3979,Malik Newman,SG,10.90,3.18,3.13,27.5,33.5,-
3980,Josh Okogie,SG,11.08,3.03,3.04,33.0,42.0,12
3981,Theo Pinson,SG-SF,11.53,3.11,3.22,27.0,34.0,7
3982,Jontay Porter,C-PF,11.90,3.07,3.40,25.5,31.0,9
3983,Michael Porter,SF-PF,-,-,-,-,-,-
3984,Billy Preston,PF,11.26,3.35,3.20,25.0,33.0,0
3985,Jerome Robinson,SG,-,-,-,-,-,-
3986,Collin Sexton,PG,-,-,-,-,-,-
3987,Landry Shamet,PG,11.26,3.21,3.11,31.0,39.5,8
3988,Anfernee Simons,SG-PG,11.27,3.16,3.10,32.0,41.5,1
3989,Zhaire Smith,SF-SG,11.02,3.15,3.05,33.0,41.5,10
3990,Ray Spalding,PF,11.48,3.20,3.34,26.0,32.0,12
3991,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
3992,Khyri Thomas,SG,10.96,3.18,3.18,30.0,35.0,14
3993,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
3994,Allonzo Trier,SG,11.02,2.97,3.14,32.0,40.0,11
3995,Moritz Wagner,C-PF,11.48,3.07,3.18,27.0,34.0,8
3996,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40.0,12
3997,PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
3998,Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
3999,Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
4000,Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
4001,Trae Young,PG,-,-,-,-,-,-
4002,Rawle Alkins,SG,11.50,3.09,3.15,32.5,40.5,10
4003,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
4004,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35.0,0
4005,Udoka Azubuike,C,12.97,3.65,3.12,31.0,31.5,11
4006,Mohamed Bamba,C,-,-,-,-,-,-
4007,Jaylen Barford,PG-SG,11.39,3.21,3.31,27.0,33.0,7
4008,Keita Bates-Diop,SG-SF,11.20,3.28,3.17,30.5,35.0,11
4009,Tyus Battle,SG,11.04,2.87,3.07,32.0,37.5,9
4010,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34.0,0
4011,Miles Bridges,SF,-,-,-,-,-,-
