,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
4453,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
4454,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
4455,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
4456,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
4457,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
4458,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
4459,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
4460,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
4461,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
4462,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
4463,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
4464,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
4465,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
4466,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
4467,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
4468,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
4469,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
4470,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
4471,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4472,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4473,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
4474,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
4475,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
4476,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
4477,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
4478,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4479,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
4480,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
4481,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
4482,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4483,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
4484,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
4485,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
4486,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
4487,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
4488,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
4489,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
4490,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
4491,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
4492,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
4493,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
4494,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
4495,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4496,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
4497,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
4498,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
4499,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
4500,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
4501,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
4502,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
4503,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
4504,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
4505,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
4506,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
4507,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
4508,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4509,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
4510,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
4511,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
4512,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
4513,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
4514,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
4515,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
4516,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
4517,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
4518,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
4519,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
4520,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
4521,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
4522,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
4523,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
4524,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
4525,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
4526,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
4527,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
4528,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
4529,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
4530,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
4531,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
4532,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
4533,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
4534,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
4535,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
4536,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
4537,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
4538,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
4539,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
4540,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
4541,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
4542,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
4543,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
4544,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
4545,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
4546,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
