,PLAYER,POS,Off DribbleCollegeBreak Left,Off DribbleCollegeBreak Right,Off DribbleCollegeTop Key,Off DribbleFifteenBreak Left,Off DribbleFifteenBreak Right,Off DribbleFifteenTop Key,On TheMoveCollege,On TheMoveFifteen
5325,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
5326,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
5327,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
5328,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5329,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
5330,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
5331,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
5332,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
5333,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
5334,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
5335,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
5336,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5337,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
5338,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
5339,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
5340,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
5341,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
5342,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
5343,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
5344,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
5345,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
5346,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
5347,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
5348,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
5349,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
5350,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
5351,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
5352,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
5353,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
5354,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
5355,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
5356,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
5357,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
5358,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
5359,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
5360,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
5361,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
5362,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
5363,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
5364,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
5365,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
5366,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
5367,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
5368,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5369,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5370,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
5371,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
5372,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
5373,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
5374,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
5375,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5376,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
5377,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
5378,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
5379,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5380,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
5381,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
5382,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
5383,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
5384,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5385,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
5386,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5387,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
5388,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
5389,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
5390,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
5391,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
5392,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5393,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
5394,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
5395,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
5396,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
5397,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5398,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
5399,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
5400,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
5401,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
5402,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
5403,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
5404,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
5405,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5406,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
5407,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
5408,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
5409,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
5410,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
5411,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
5412,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
5413,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
5414,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
5415,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
5416,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
5417,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
5418,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
5419,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
5420,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
5421,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
5422,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
5423,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
5424,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
5425,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
5426,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
5427,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
5428,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
5429,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
5430,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
5431,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
5432,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
5433,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
5434,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
5435,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
5436,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
5437,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5438,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5439,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
5440,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
5441,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
5442,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
5443,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
5444,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5445,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
5446,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
5447,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
5448,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5449,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
5450,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
5451,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
5452,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
5453,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5454,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
5455,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5456,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
5457,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
5458,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
5459,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
5460,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
5461,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5462,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
5463,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
5464,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
5465,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
5466,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5467,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
5468,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
5469,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
5470,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
5471,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
5472,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
5473,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
5474,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5475,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
5476,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
5477,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
5478,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
5479,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
5480,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
5481,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
5482,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
5483,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
5484,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
5485,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
5486,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
5487,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
5488,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
5489,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
5490,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
5491,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
5492,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
5493,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
5494,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
5495,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
5496,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
5497,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
5498,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
5499,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
5500,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
5501,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
5502,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
5503,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
5504,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
5505,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
5506,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5507,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5508,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
5509,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
5510,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
5511,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
5512,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
5513,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5514,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
5515,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
5516,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
5517,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5518,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
5519,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
5520,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
5521,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
5522,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5523,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
5524,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5525,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
5526,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
5527,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
5528,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
5529,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
5530,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5531,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
5532,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
5533,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
5534,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
5535,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5536,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
5537,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
5538,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
5539,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
5540,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
5541,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
5542,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
5543,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5544,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
5545,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
5546,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
5547,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
5548,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
5549,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
5550,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
5551,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
5552,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
5553,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
5554,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
5555,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
5556,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
5557,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
5558,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
5559,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
5560,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
5561,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
5562,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
5563,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
5564,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
5565,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
5566,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
5567,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
5568,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
5569,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
5570,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
5571,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
5572,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
5573,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
5574,Landry Shamet,PG,-%,-%,-%,75.0%,75.0%,75.0,-%,74.3%
5575,Anfernee Simons,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5576,Zhaire Smith,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5577,Ray Spalding,PF,25.0%,50.0%,75.0%,25.0%,75.0%,25.0,-%,50.0%
5578,Omari Spellman,PF-C,-%,-%,-%,75.0%,25.0%,50.0,-%,60.0%
5579,Khyri Thomas,SG,-%,-%,-%,-%,-%,-,-%,-%
5580,Gary Trent,SG,-%,-%,-%,100%,100%,75.0,-%,72.0%
5581,Allonzo Trier,SG,50.0%,100%,100%,100%,25.0%,25.0,-%,71.4%
5582,Moritz Wagner,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5583,Lonnie Walker,SG,-%,-%,-%,-%,-%,-,-%,-%
5584,PJ Washington,PF,-%,-%,-%,25.0%,0.0%,50.0,-%,62.5%
5585,Austin Wiley,C,50.0%,75.0%,75.0%,25.0%,25.0%,0.0,-%,62.1%
5586,Kris Wilkes,SF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5587,Kenrich Williams,SF,-%,-%,-%,37.5%,25.0%,25.0,-%,65.5%
5588,Trae Young,PG,-%,-%,-%,-%,-%,-,-%,-%
5589,Rawle Alkins,SG,-%,-%,-%,50.0%,50.0%,25.0,-%,79.4%
5590,Grayson Allen,SG,-%,-%,-%,-%,-%,-,-%,-%
5591,Kostas Antetokounmpo,PF,-%,-%,-%,50.0%,25.0%,25.0,-%,50.0%
5592,Udoka Azubuike,C,-%,-%,-%,-%,-%,-,-%,-%
5593,Mohamed Bamba,C,-%,-%,-%,-%,-%,-,-%,-%
5594,Jaylen Barford,PG-SG,-%,-%,-%,75.0%,75.0%,75.0,-%,55.9%
5595,Keita Bates-Diop,SG-SF,-%,-%,-%,25.0%,75.0%,25.0,20.0%,61.9%
5596,Tyus Battle,SG,-%,-%,-%,75.0%,70.0%,75.0,-%,-%
5597,Brian Bowen,SG-SF,-%,-%,-%,75.0%,25.0%,75.0,-%,58.6%
5598,Miles Bridges,SF,-%,-%,-%,-%,-%,-,-%,-%
5599,Bruce Brown,SG-PG,-%,-%,-%,-%,-%,-,-%,-%
5600,Troy Brown,SF,-%,-%,-%,-%,-%,-,-%,-%
5601,Jalen Brunson,PG,-%,-%,-%,-%,-%,-,-%,-%
5602,Tony Carr,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,69.0%
5603,Jevon Carter,PG,-%,-%,-%,50.0%,100%,25.0,-%,71.0%
5604,Wendell Carter,C-PF,-%,-%,-%,-%,-%,-,-%,-%
5605,Donte DiVincenzo,SG,-%,-%,-%,50.0%,100%,75.0,-%,48.3%
5606,Hamidou Diallo,SG,-%,-%,-%,-%,-%,-,-%,-%
5607,Trevon Duval,PG,-%,-%,-%,-%,-%,-,-%,-%
5608,Carsen Edwards,PG,-%,-%,-%,75.0%,25.0%,75.0,-%,88.0%
5609,Jacob Evans,SG-SF,-%,-%,-%,-%,-%,-,-%,-%
5610,Keenan Evans,PG,-%,-%,-%,-%,-%,-,-%,-%
5611,Bruno Fernando,C,50.0%,50.0%,50.0%,50.0%,50.0%,25.0,-%,70.0%
5612,Melvin Frazier,SF-SG,-%,-%,-%,-%,-%,-,-%,-%
5613,Shai Gilgeous-Alexander,PG,-%,-%,-%,-%,-%,-,-%,-%
5614,Devonte Graham,PG,-%,-%,-%,50.0%,75.0%,25.0,-%,65.7%
5615,Isaac Haas,C,-%,-%,-%,-%,-%,-,-%,-%
5616,Devon Hall,SG,50.0%,100%,75.0%,50.0%,75.0%,75.0,-%,73.5%
5617,Jaylen Hands,PG,-%,-%,-%,50.0%,25.0%,75.0,-%,64.7%
5618,Kevin Hervey,PF,50.0%,50.0%,75.0%,50.0%,50.0%,25.0,-%,77.8%
5619,Aaron Holiday,PG,-%,-%,-%,0.0%,75.0%,75.0,64.3%,-%
5620,Kevin Huerter,SG,25.0%,75.0%,75.0%,25.0%,25.0%,50.0,-%,87.1%
5621,Jaren Jackson,PF-C,-%,-%,-%,-%,-%,-,-%,-%
5622,Justin Jackson,PF,-%,-%,-%,-%,-%,-,-%,-%
5623,Alize Johnson,PF,-%,-%,-%,50.0%,25.0%,75.0,-%,50.0%
5624,George King,SF-SG,50.0%,50.0%,75.0%,50.0%,75.0%,75.0,-%,67.9%
5625,Kevin Knox,SF,-%,-%,-%,-%,-%,-,-%,-%
5626,Sagaba Konate,C,-%,-%,-%,75.0%,100%,50.0,-%,61.3%
5627,Caleb Martin,SF-SG,50.0%,75.0%,50.0%,50.0%,50.0%,25.0,-%,69.0%
5628,Cody Martin,SG-SF,75.0%,50.0%,100%,50.0%,75.0%,75.0,-%,82.6%
5629,Yante Maten,PF-C,-%,-%,-%,50.0%,62.5%,37.5,-%,59.3%
5630,Brandon McCoy,C,-%,-%,-%,25.0%,50.0%,75.0,-%,67.9%
5631,DeAnthony Melton,SG-PG,-%,-%,-%,50.0%,75.0%,100,-%,62.1%
5632,Chimezie Metu,PF-C,-%,-%,-%,100%,25.0%,25.0,71.0%,-%
5633,Shake Milton,SG-PG,25.0%,50.0%,50.0%,75.0%,50.0%,50.0,-%,71.4%
5634,Sviatoslav Mykhailiuk,SG-SF,-%,-%,-%,87.5%,62.5%,75.0,-%,-%
5635,Malik Newman,SG,-%,-%,-%,-%,-%,-,-%,-%
5636,Josh Okogie,SG,-%,-%,-%,50.0%,100%,100,-%,51.6%
5637,Theo Pinson,SG-SF,-%,-%,-%,25.0%,25.0%,25.0,-%,48.6%
5638,Jontay Porter,C-PF,-%,-%,-%,25.0%,75.0%,75.0,57.9%,50.0%
5639,Michael Porter,SF-PF,-%,-%,-%,-%,-%,-,-%,-%
5640,Billy Preston,PF,-%,-%,-%,-%,-%,-,-%,-%
5641,Jerome Robinson,SG,-%,-%,-%,-%,-%,-,-%,-%
5642,Collin Sexton,PG,-%,-%,-%,-%,-%,-,-%,-%
