,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
3180,UC Irvine,37,36,23.2,4.6,6.8,0.673,0,0,0,3,4.8,0.631,2,5.2,7.2,0.6,0.2,2.4,2.5,2.2,12.1,https://basketball.realgm.com/player/Mamadou-Ndiaye/NCAA/41432/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3181,UNLV,33,23,25.1,3.6,9.5,0.381,1.9,5.4,0.346,2.3,3.4,0.681,0.6,2.6,3.2,1.7,0.8,0.2,2.4,1.8,11.4,https://basketball.realgm.com/player/Ike-Nwamu/NCAA/30892/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3185,UNLV,33,23,25.1,3.6,9.5,0.381,1.9,5.4,0.346,2.3,3.4,0.681,0.6,2.6,3.2,1.7,0.8,0.2,2.4,1.8,11.4,https://basketball.realgm.com/player/Ike-Nwamu/NCAA/30892/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3186,Miami (FL),35,35,30.2,4.1,9.3,0.442,1.6,4.7,0.341,2.7,3.4,0.8,0.7,1.9,2.5,4.5,1.7,0.2,2.6,2.5,12.6,https://basketball.realgm.com/player/Angel-Rodriguez/NCAA/28943/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3190,Miami (FL),35,35,30.2,4.1,9.3,0.442,1.6,4.7,0.341,2.7,3.4,0.8,0.7,1.9,2.5,4.5,1.7,0.2,2.6,2.5,12.6,https://basketball.realgm.com/player/Angel-Rodriguez/NCAA/28943/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3191,Stephen F. Austin,34,34,29.5,6.4,10.9,0.588,0.3,1.1,0.256,5,6.1,0.817,2.3,4.5,6.9,4.5,2.1,0.5,2.7,1.7,18.1,https://basketball.realgm.com/player/Thomas-Walkup/NCAA/31849/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3195,Stephen F. Austin,34,34,29.5,6.4,10.9,0.588,0.3,1.1,0.256,5,6.1,0.817,2.3,4.5,6.9,4.5,2.1,0.5,2.7,1.7,18.1,https://basketball.realgm.com/player/Thomas-Walkup/NCAA/31849/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3196,West Virginia,35,34,25.4,4.4,9.4,0.467,0,0,0,4.5,6.4,0.693,3.5,5.9,9.5,1.4,0.7,0.2,2.5,2.3,13.3,https://basketball.realgm.com/player/Devin-Williams/NCAA/41436/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3199,West Virginia,35,34,25.4,4.4,9.4,0.467,0,0,0,4.5,6.4,0.693,3.5,5.9,9.5,1.4,0.7,0.2,2.5,2.3,13.3,https://basketball.realgm.com/player/Devin-Williams/NCAA/41436/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3200,Indiana,35,8,20.1,2.1,4.9,0.419,1.9,4.5,0.417,0.5,0.6,0.905,0.3,1.3,1.6,0.8,0.2,0.1,1.3,0.5,6.5,https://basketball.realgm.com/player/Nick-Zeisloft/NCAA/30528/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
