,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
1311,Little Rock,31,31,27.2,4.3,8.9,0.487,0.5,1.8,0.291,2.7,4,0.675,1.8,3.6,5.4,1.5,0.9,0.7,2.6,2.2,11.8,https://basketball.realgm.com/player/Shane-Edwards/NCAA/11002/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1312,Massachusetts,30,30,33.9,4.5,8.3,0.542,0.4,1.1,0.333,2.1,3.3,0.646,3.2,7.1,10.2,1.7,2,3.8,2,1.6,11.5,https://basketball.realgm.com/player/Tony-Gaffney/NCAA/1789/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1316,Massachusetts,30,30,33.9,4.5,8.3,0.542,0.4,1.1,0.333,2.1,3.3,0.646,3.2,7.1,10.2,1.7,2,3.8,2,1.6,11.5,https://basketball.realgm.com/player/Tony-Gaffney/NCAA/1789/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1317,Siena,35,35,30.8,5.5,13.5,0.407,1.6,4.7,0.348,2,3.1,0.657,0.7,2.7,3.5,2.8,2,0.2,1.9,2.3,14.6,https://basketball.realgm.com/player/Kenny-Hasbrouck/NCAA/1803/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1321,Siena,35,35,30.8,5.5,13.5,0.407,1.6,4.7,0.348,2,3.1,0.657,0.7,2.7,3.5,2.8,2,0.2,1.9,2.3,14.6,https://basketball.realgm.com/player/Kenny-Hasbrouck/NCAA/1803/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1322,Duquesne,34,34,36.7,6.7,12.1,0.554,1.4,3.4,0.405,4.5,5.5,0.809,1.8,3.7,5.5,5.7,1.6,0.1,1.9,3,19.3,https://basketball.realgm.com/player/Aaron-Jackson/NCAA/1723/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1326,Duquesne,34,34,36.7,6.7,12.1,0.554,1.4,3.4,0.405,4.5,5.5,0.809,1.8,3.7,5.5,5.7,1.6,0.1,1.9,3,19.3,https://basketball.realgm.com/player/Aaron-Jackson/NCAA/1723/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1327,Cleveland State,37,37,33.3,3.6,9.2,0.395,0.9,2.9,0.306,2.7,4.3,0.619,1.2,4.5,5.7,5.4,3,0.2,2.8,3.6,10.9,https://basketball.realgm.com/player/Cedric-Jackson/NCAA/5665/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1331,Cleveland State,37,37,33.3,3.6,9.2,0.395,0.9,2.9,0.306,2.7,4.3,0.619,1.2,4.5,5.7,5.4,3,0.2,2.8,3.6,10.9,https://basketball.realgm.com/player/Cedric-Jackson/NCAA/5665/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1332,Baylor,39,39,34.6,5.1,11.8,0.427,1.9,5.3,0.367,4.2,5.5,0.771,0.8,3.7,4.5,4.9,1.5,0.3,1.9,3.1,16.3,https://basketball.realgm.com/player/Curtis-Jerrells/NCAA/1640/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1336,Baylor,39,39,34.6,5.1,11.8,0.427,1.9,5.3,0.367,4.2,5.5,0.771,0.8,3.7,4.5,4.9,1.5,0.3,1.9,3.1,16.3,https://basketball.realgm.com/player/Curtis-Jerrells/NCAA/1640/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1337,Wisconsin,33,33,31.3,5,10,0.502,0.9,2.4,0.367,1.7,2.8,0.626,1.6,3,4.6,1.5,0.8,1,2.4,1.6,12.7,https://basketball.realgm.com/player/Marcus-Landry/NCAA/1810/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1341,Wisconsin,33,33,31.3,5,10,0.502,0.9,2.4,0.367,1.7,2.8,0.626,1.6,3,4.6,1.5,0.8,1,2.4,1.6,12.7,https://basketball.realgm.com/player/Marcus-Landry/NCAA/1810/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1342,Saint Mary's,35,34,32.7,4.6,9.1,0.506,0.1,0.5,0.188,4.5,7.6,0.584,3.6,7.1,10.7,0.6,1.7,1.5,2,1.6,13.8,https://basketball.realgm.com/player/Diamon-Simpson/NCAA/1776/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1346,Saint Mary's,35,34,32.7,4.6,9.1,0.506,0.1,0.5,0.188,4.5,7.6,0.584,3.6,7.1,10.7,0.6,1.7,1.5,2,1.6,13.8,https://basketball.realgm.com/player/Diamon-Simpson/NCAA/1776/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1347,Notre Dame,36,7,14.6,1.8,4.6,0.396,1.1,3.1,0.342,0.2,0.4,0.615,0.9,1.9,2.8,0.6,0.2,0.2,1.7,0.5,4.9,https://basketball.realgm.com/player/Luke-Zeller/NCAA/1695/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1351,Notre Dame,36,7,14.6,1.8,4.6,0.396,1.1,3.1,0.342,0.2,0.4,0.615,0.9,1.9,2.8,0.6,0.2,0.2,1.7,0.5,4.9,https://basketball.realgm.com/player/Luke-Zeller/NCAA/1695/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1352,Texas,34,22,18.2,1.6,4,0.397,0.6,2.1,0.278,0.8,1,0.824,1.1,2,3.1,0.5,0.6,1.3,2.5,0.8,4.6,https://basketball.realgm.com/player/Connor-Atchley/NCAA/1782/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1356,Texas,34,22,18.2,1.6,4,0.397,0.6,2.1,0.278,0.8,1,0.824,1.1,2,3.1,0.5,0.6,1.3,2.5,0.8,4.6,https://basketball.realgm.com/player/Connor-Atchley/NCAA/1782/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1357,Pittsburgh,36,36,23.8,2.6,5.2,0.495,0.5,1.3,0.396,0.7,1.1,0.625,1.9,2.3,4.3,0.7,0.4,0.5,2.2,1,6.4,https://basketball.realgm.com/player/Tyrell-Biggs/NCAA/1693/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1361,Pittsburgh,36,36,23.8,2.6,5.2,0.495,0.5,1.3,0.396,0.7,1.1,0.625,1.9,2.3,4.3,0.7,0.4,0.5,2.2,1,6.4,https://basketball.realgm.com/player/Tyrell-Biggs/NCAA/1693/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1362,Gonzaga,34,23,25.4,3.1,7.2,0.431,1.4,3.6,0.387,1.9,2.4,0.812,1.3,3.3,4.6,1.1,0.9,0.5,2,0.8,9.6,https://basketball.realgm.com/player/Micah-Downs/NCAA/1769/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1366,Gonzaga,34,23,25.4,3.1,7.2,0.431,1.4,3.6,0.387,1.9,2.4,0.812,1.3,3.3,4.6,1.1,0.9,0.5,2,0.8,9.6,https://basketball.realgm.com/player/Micah-Downs/NCAA/1769/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1367,NC State,27,26,29.7,4.2,9,0.465,1.6,4,0.398,1.3,1.6,0.857,0.6,3,3.6,1.5,1,0.8,2,1.7,11.3,https://basketball.realgm.com/player/Courtney-Fells/NCAA/1654/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1371,NC State,27,26,29.7,4.2,9,0.465,1.6,4,0.398,1.3,1.6,0.857,0.6,3,3.6,1.5,1,0.8,2,1.7,11.3,https://basketball.realgm.com/player/Courtney-Fells/NCAA/1654/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1372,Stanford,33,32,31.8,4.9,11.7,0.417,2.2,5.5,0.388,4.3,5.5,0.78,0.8,2.5,3.3,1.6,0.7,0.1,1.3,2.4,16.2,https://basketball.realgm.com/player/Anthony-Goods/NCAA/4712/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1376,Stanford,33,32,31.8,4.9,11.7,0.417,2.2,5.5,0.388,4.3,5.5,0.78,0.8,2.5,3.3,1.6,0.7,0.1,1.3,2.4,16.2,https://basketball.realgm.com/player/Anthony-Goods/NCAA/4712/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1377,Syracuse,37,36,30.6,4.2,8.4,0.494,0.3,1.2,0.227,3.4,4.5,0.756,2.4,5.6,8.1,2.2,1,0.7,1.9,2.1,12,https://basketball.realgm.com/player/Paul-Harris/NCAA/1664/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1380,Syracuse,37,36,30.6,4.2,8.4,0.494,0.3,1.2,0.227,3.4,4.5,0.756,2.4,5.6,8.1,2.2,1,0.7,1.9,2.1,12,https://basketball.realgm.com/player/Paul-Harris/NCAA/1664/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1381,Florida International,19,14,19.3,3.2,7,0.451,0.1,0.1,1,2.1,3.2,0.639,2.4,2.9,5.4,0.3,0.1,1.6,2.8,1.6,8.4,https://basketball.realgm.com/player/Russell-Hicks/NCAA/8457/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1385,Florida International,19,14,19.3,3.2,7,0.451,0.1,0.1,1,2.1,3.2,0.639,2.4,2.9,5.4,0.3,0.1,1.6,2.8,1.6,8.4,https://basketball.realgm.com/player/Russell-Hicks/NCAA/8457/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1386,Stanford,34,34,31.1,5.4,10.6,0.503,0.6,1.9,0.323,2.3,3.4,0.693,2,3.9,5.9,2.2,0.9,0.5,2.1,1.7,13.6,https://basketball.realgm.com/player/Lawrence-Hill/NCAA/1781/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1390,Stanford,34,34,31.1,5.4,10.6,0.503,0.6,1.9,0.323,2.3,3.4,0.693,2,3.9,5.9,2.2,0.9,0.5,2.1,1.7,13.6,https://basketball.realgm.com/player/Lawrence-Hill/NCAA/1781/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1391,Marquette,29,28,31.4,4.2,9.9,0.424,1.1,4,0.284,1.4,3.1,0.461,0.9,2.6,3.4,5,2.1,0.3,1.9,1.9,11,https://basketball.realgm.com/player/Dominic-James/NCAA/1747/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1395,Marquette,29,28,31.4,4.2,9.9,0.424,1.1,4,0.284,1.4,3.1,0.461,0.9,2.6,3.4,5,2.1,0.3,1.9,1.9,11,https://basketball.realgm.com/player/Dominic-James/NCAA/1747/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1396,NC State,30,29,29.7,4.5,8.4,0.538,0,0,0,3.4,4.7,0.711,2.5,5.3,7.8,2,0.9,0.5,1.6,1.7,12.4,https://basketball.realgm.com/player/Ben-McCauley/NCAA/1788/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1400,NC State,30,29,29.7,4.5,8.4,0.538,0,0,0,3.4,4.7,0.711,2.5,5.3,7.8,2,0.9,0.5,1.6,1.7,12.4,https://basketball.realgm.com/player/Ben-McCauley/NCAA/1788/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1401,Utah,34,34,31.9,5.9,9.7,0.607,0,0,0,5,6.3,0.786,2,7,9,1.3,0.4,2.7,2.9,2.4,16.8,https://basketball.realgm.com/player/Luke-Nevill/NCAA/1799/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1405,Utah,34,34,31.9,5.9,9.7,0.607,0,0,0,5,6.3,0.786,2,7,9,1.3,0.4,2.7,2.9,2.4,16.8,https://basketball.realgm.com/player/Luke-Nevill/NCAA/1799/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1407,McNeese State,29,29,25.1,3.4,5.3,0.643,0,0,0,1.6,2.6,0.618,1.9,3.7,5.6,0.6,0.2,3.5,2.2,1.5,8.4,https://basketball.realgm.com/player/Kleon-Penn/NCAA/21612/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1411,Clemson,32,31,21.7,3.3,5.8,0.578,0,0,0,1.2,2.2,0.557,2.6,2.5,5.1,0.7,0.6,1,2,1.9,7.9,https://basketball.realgm.com/player/Raymond-Sykes/NCAA/3484/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1415,Clemson,32,31,21.7,3.3,5.8,0.578,0,0,0,1.2,2.2,0.557,2.6,2.5,5.1,0.7,0.6,1,2,1.9,7.9,https://basketball.realgm.com/player/Raymond-Sykes/NCAA/3484/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1419,Oral Roberts,31,31,28.8,5.3,9,0.594,0,0,0,2.7,5.3,0.503,2.5,4.7,7.2,2.3,0.8,0.6,2.8,2.7,13.3,https://basketball.realgm.com/player/Marcus-Lewis/NCAA/8503/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1423,Oral Roberts,31,31,28.8,5.3,9,0.594,0,0,0,2.7,5.3,0.503,2.5,4.7,7.2,2.3,0.8,0.6,2.8,2.7,13.3,https://basketball.realgm.com/player/Marcus-Lewis/NCAA/8503/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1425,Harvard,28,28,34.8,5.9,11.8,0.502,1.4,3.6,0.4,4.5,6,0.744,0.9,4.6,5.5,4.2,2.4,0.6,2.9,3.8,17.8,https://basketball.realgm.com/player/Jeremy-Lin/NCAA/10168/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1430,Wake Forest,29,1,21.7,2.4,5.7,0.43,0.2,1,0.241,1,1.3,0.789,0.5,2.2,2.7,3.4,0.9,0,1.2,2,6.2,https://basketball.realgm.com/player/Ish-Smith/NCAA/3665/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1435,Duke,36,15,19.1,2,3.2,0.626,0,0,0,1.4,2.6,0.553,1.9,1.8,3.7,0.5,0.5,0.3,2.6,0.8,5.4,https://basketball.realgm.com/player/Lance-Thomas/NCAA/1948/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1440,Texas A&M;,34,33,30.3,3.9,10,0.388,0.9,2.5,0.353,3.1,4.2,0.743,0.4,3.2,3.6,3.2,0.7,0.1,1.4,1.6,11.8,https://basketball.realgm.com/player/Donald-Sloan/NCAA/2558/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1445,Michigan,35,35,32.9,5.1,12.4,0.414,1.5,4.5,0.327,5,5.8,0.863,1.7,5,6.7,4.4,1.2,0.5,2.1,3.1,16.8,https://basketball.realgm.com/player/Manny-Harris/NCAA/2279/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1453,Syracuse,38,37,26.8,4.7,7.1,0.664,0,0,0,1,3.3,0.298,2.8,4.4,7.3,0.6,0.5,1.4,2.4,1.6,10.3,https://basketball.realgm.com/player/Arinze-Onuaku/NCAA/2316/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1458,Louisville,37,37,25.1,4.4,7.6,0.578,0,0,0,3,4.5,0.667,2.5,2.4,4.9,0.9,0.6,1.3,3,2.1,11.8,https://basketball.realgm.com/player/Samardo-Samuels/NCAA/2173/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1461,New Mexico State,31,30,30.1,4.8,11.3,0.426,2.1,5.4,0.387,2.4,3.5,0.688,0.2,1.7,1.9,2.1,1.4,0,2.5,2,14.1,https://basketball.realgm.com/player/Jonathan-Gibson/NCAA/2550/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1466,Tulsa,36,36,35.6,4.7,10.7,0.438,1.1,3.4,0.328,3.5,4.4,0.791,0.8,4.1,4.9,3.6,1.5,0.5,2.1,2.6,14,https://basketball.realgm.com/player/Ben-Uzoh/NCAA/8107/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1471,Vermont,33,32,32.7,6,9.9,0.61,0,0.1,0.333,4,7.1,0.562,2.8,6.2,9,2.5,2,2.7,3.1,3.3,16.1,https://basketball.realgm.com/player/Marqus-Blakely/NCAA/9457/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1476,California,33,33,33.3,5.3,12.1,0.441,1.5,4.1,0.358,2.4,2.8,0.83,1.2,2.6,3.8,2.1,0.8,0.2,2.2,1.7,14.5,https://basketball.realgm.com/player/Patrick-Christopher/NCAA/2298/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1481,Kansas,35,35,35.1,6.5,14.9,0.434,2.2,5.9,0.376,3.8,4.7,0.795,0.5,2.3,2.9,4.9,1.1,0,1.9,3.3,18.9,https://basketball.realgm.com/player/Sherron-Collins/NCAA/1946/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1486,Connecticut,24,24,29.3,4.3,10.6,0.408,1,2.9,0.348,3.5,4.8,0.724,1.2,2.8,4.1,3.2,1.8,0.3,1.8,2,13.2,https://basketball.realgm.com/player/Jerome-Dyson/NCAA/4354/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1491,Cornell,31,29,28.5,4.5,8.5,0.531,0,0,0,2.9,4.5,0.631,2,5.1,7.2,2.3,0.4,2,2.6,2,11.8,https://basketball.realgm.com/player/Jeff-Foote/NCAA/10166/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1495,NC State,30,3,18.9,2.1,4.7,0.45,0.8,2.3,0.357,1.4,1.7,0.82,0.7,2.1,2.8,1.2,0.4,0.3,1.7,0.6,6.4,https://basketball.realgm.com/player/Dennis-Horner/NCAA/3774/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1500,Northeastern,32,32,36,4.9,12.2,0.406,1.6,4.9,0.323,2.9,3.9,0.742,1,3.7,4.7,2.6,1.5,0.2,2,2.4,14.3,https://basketball.realgm.com/player/Matt-Janning/NCAA/11001/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1505,Louisville,37,35,21.2,2.6,5.3,0.492,1.5,3.5,0.412,1.2,1.8,0.662,0.6,1.6,2.1,1.3,1.1,0.1,2,1,7.8,https://basketball.realgm.com/player/Jerry-Smith/NCAA/2391/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1510,Siena,35,34,33.5,5.9,12.1,0.493,0.6,1.9,0.309,2.5,4,0.636,1.6,3.3,4.9,2.1,1.5,1,1.3,2.6,15,https://basketball.realgm.com/player/Edwin-Ubiles/NCAA/10178/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1518,Arizona State,31,0,8.2,0.8,1.3,0.615,0,0,0,0.3,0.7,0.409,0.7,1.3,2,0.2,0.2,0.2,1.2,0.3,1.8,https://basketball.realgm.com/player/Eric-Boateng/NCAA/1954/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1523,Baylor,36,36,33.2,3.6,8.3,0.43,2.3,5.7,0.403,1.2,1.8,0.656,0.4,2.1,2.5,3.2,1.2,0,2.5,1.4,10.6,https://basketball.realgm.com/player/Tweety-Carter/NCAA/1945/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1528,Troy,32,32,32.2,5.6,11.5,0.486,1.4,4.1,0.351,1.3,2.5,0.532,1.3,3.5,4.8,2.5,1.1,0.4,2.4,2.2,13.9,https://basketball.realgm.com/player/Richard-Delk/NCAA/5855/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1533,Northern Iowa,34,29,19.3,4.4,7.4,0.585,0.1,0.4,0.133,1.4,2.1,0.667,2,4.5,6.4,0.6,0.1,1.3,1.8,1.3,10.2,https://basketball.realgm.com/player/Jordan-Eglseder/NCAA/7460/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1538,Mercer,32,32,34.5,7.2,17.1,0.419,2,6.7,0.296,4.5,6.5,0.697,0.8,2.8,3.5,3.7,2.2,0.1,2.5,3.7,20.8,https://basketball.realgm.com/player/James-Florence/NCAA/14479/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1544,La Salle,30,27,21,2.8,4.8,0.579,0,0,0,1.1,1.8,0.6,1.9,4,5.9,0.4,0.5,1.6,3.1,1.1,6.7,https://basketball.realgm.com/player/Vernon-Goodridge/NCAA/5856/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1547,La Salle,30,27,21,2.8,4.8,0.579,0,0,0,1.1,1.8,0.6,1.9,4,5.9,0.4,0.5,1.6,3.1,1.1,6.7,https://basketball.realgm.com/player/Vernon-Goodridge/NCAA/5856/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1549,Miami (OH),8,8,31.1,4.2,9.1,0.466,2,3.8,0.533,3.4,4.2,0.794,0.6,2.5,3.1,3.8,0.8,0.2,1.4,3.1,13.9,https://basketball.realgm.com/player/Kenny-Hayes/NCAA/11541/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1553,Notre Dame,36,34,33.9,3.9,9.4,0.42,0.8,2.2,0.358,1.9,2.9,0.638,1.2,3.2,4.4,4.9,1.2,0.1,2.8,2.3,10.6,https://basketball.realgm.com/player/Tory-Jackson/NCAA/6204/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1558,Louisiana,30,22,23.9,2.5,6.2,0.409,0.5,1.9,0.268,1.6,2.1,0.774,1.9,3.1,5,1.5,0.7,1.3,2.4,2,7.2,https://basketball.realgm.com/player/Tyren-Johnson/NCAA/10164/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1563,Northern Iowa,34,34,27.9,3.5,7.2,0.488,0.4,1.3,0.311,4.6,6,0.771,1.5,3.6,5.1,2,0.5,0.4,2.6,2.1,12.1,https://basketball.realgm.com/player/Adam-Koch/NCAA/7453/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1568,DePaul,32,32,32.1,4.9,9.3,0.527,0,0.1,0,2.4,4.2,0.575,3.8,5.9,9.6,1.8,1.3,0.4,2.5,2.7,12.2,https://basketball.realgm.com/player/Mac-Koshwal/NCAA/2321/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1572,Purdue,35,28,27.2,1.7,3.8,0.448,0.3,0.9,0.323,1.5,2,0.768,0.4,2.5,2.9,2.5,2.1,0.4,2.3,1.3,5.2,https://basketball.realgm.com/player/Chris-Kramer/NCAA/3984/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1577,USC,33,32,36.1,5,12.3,0.403,1.7,4.4,0.379,2.8,3.7,0.748,0.8,2.5,3.3,2.1,1.1,0.2,2,2.5,14.4,https://basketball.realgm.com/player/Dwight-Lewis/NCAA/2312/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1582,St. John's,3,3,34.3,4.7,12.7,0.368,1,5.7,0.176,3.7,5,0.733,1,3.3,4.3,3.3,0.3,1.7,2.3,3.3,14,https://basketball.realgm.com/player/Anthony-Mason-Jr/NCAA/6466/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1588,LSU,35,34,32.6,6.4,12.3,0.522,0.3,0.5,0.526,3.2,4.4,0.725,2.6,4.5,7.2,1.9,1.6,0.7,2.5,2,16.3,https://basketball.realgm.com/player/Tasmin-Mitchell/NCAA/1953/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1594,Texas A&M-CC;,33,33,29.9,5.8,13.5,0.427,1.6,5.3,0.31,5,6.2,0.809,1.7,3.5,5.2,2.8,2.6,0.5,1.9,3.3,18.2,https://basketball.realgm.com/player/Kevin-Palmer/NCAA/10158/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1597,Tennessee,31,23,26.4,4.1,7.2,0.572,0.1,0.8,0.125,1.6,2.6,0.61,1.9,2.3,4.2,3.2,1.5,0.6,3.1,2.1,9.9,https://basketball.realgm.com/player/JP-Prince/NCAA/5913/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1603,California,33,33,35.3,5.8,11.5,0.501,2.5,5.4,0.463,4.2,4.9,0.863,0.4,2.6,3,5,0.7,0,1.8,2.9,18.3,https://basketball.realgm.com/player/Jerome-Randle/NCAA/4710/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1608,Villanova,38,38,32.2,4.4,11.1,0.4,2,5.7,0.349,4.4,5.4,0.815,0.5,2.3,2.9,3.4,1.6,0.1,2.3,2.6,15.2,https://basketball.realgm.com/player/Scottie-Reynolds/NCAA/1950/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1613,Saint Mary's,35,33,29.6,5.6,10.1,0.558,0,0,0,2.8,3.9,0.728,3.9,5.5,9.3,1.6,0.4,2,2.8,1.8,14.1,https://basketball.realgm.com/player/Omar-Samhan/NCAA/8533/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1618,Duke,37,34,32.8,3.9,9.9,0.397,2.1,5.6,0.383,4.8,5.8,0.836,1.1,2.5,3.6,2.8,1.6,0.2,1.7,1.5,14.9,https://basketball.realgm.com/player/Jon-Scheyer/NCAA/1947/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1623,Michigan,35,26,30.6,6.4,12.7,0.506,0.7,2.4,0.313,1.9,2.7,0.71,2.5,4.3,6.8,0.7,1.1,0.8,2.2,1.3,15.5,https://basketball.realgm.com/player/DeShawn-Sims/NCAA/2388/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1628,Louisville,37,17,19.8,2.5,6.2,0.398,1,3.3,0.311,1.3,1.7,0.75,0.2,1.1,1.4,2.4,0.8,0.1,1.7,1.8,7.3,https://basketball.realgm.com/player/Edgar-Sosa/NCAA/2530/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1633,Southeastern Louisiana,30,28,27.1,5,8.6,0.578,0,0,0,2.1,3.2,0.667,2.2,4.8,7,1.4,0.6,2,3,2.3,12.1,https://basketball.realgm.com/player/Patrick-Sullivan/NCAA/11007/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1638,St. Francis (PA),23,20,32.8,5.7,12.8,0.446,0.7,3.3,0.221,4.1,6,0.683,2,5.9,7.8,1.1,1.3,0.4,2.5,3.1,16.3,https://basketball.realgm.com/player/Devin-Sweetney/NCAA/11648/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
1643,Oregon State,36,34,29.6,3.2,5.5,0.584,0,0.4,0.071,1.6,2.4,0.663,1.6,3.6,5.3,1.7,1.6,0,1.8,1.6,8,https://basketball.realgm.com/player/Seth-Tarver/NCAA/6812/2009/By_Season/Per_Game,Undrafted,2008-09,1/1/2008,1/1/2009
